Ep 250 | R= -200.0 | steps=200 | cur=0.134[0.045-0.225] | V=-82.461 | noise=0.377 | tDA=0.127 sero=0.846 NE=0.209 | maxP=-0.209
Ep 255 | R= -200.0 | steps=200 | cur=0.086[0.024-0.173] | V=-82.916 | noise=0.395 | tDA=0.107 sero=0.893 NE=0.061 | maxP=-0.372
Ep 260 | R= -200.0 | steps=200 | cur=0.102[0.060-0.197] | V=-83.075 | noise=0.411 | tDA=0.090 sero=0.886 NE=0.100 | maxP=-0.329
Ep 265 | R= -200.0 | steps=200 | cur=0.073[0.023-0.175] | V=-83.320 | noise=0.424 | tDA=0.088 sero=0.899 NE=0.028 | maxP=-0.406
Ep 270 | R= -200.0 | steps=200 | cur=0.084[0.020-0.135] | V=-82.186 | noise=0.330 | tDA=0.213 sero=0.886 NE=0.096 | maxP=-0.367
Ep 275 | R= -200.0 | steps=200 | cur=0.076[0.025-0.132] | V=-81.334 | noise=0.257 | tDA=0.296 sero=0.891 NE=0.091 | maxP=-0.346
Ep 280 | R= -200.0 | steps=200 | cur=0.057[0.030-0.099] | V=-81.002 | noise=0.254 | tDA=0.279 sero=0.900 NE=0.032 | maxP=-0.458
Ep 285 | R= -200.0 | steps=200 | cur=0.081[0.019-0.144] | V=-81.377 | noise=0.286 | tDA=0.236 sero=0.889 NE=0.090 | maxP=-0.425
Ep 290 | R= -200.0 | steps=200 | cur=0.067[0.012-0.156] | V=-81.834 | noise=0.315 | tDA=0.199 sero=0.902 NE=0.037 | maxP=-0.454
Ep 295 | R= -200.0 | steps=200 | cur=0.058[0.028-0.095] | V=-81.986 | noise=0.326 | tDA=0.192 sero=0.907 NE=0.045 | maxP=-0.403
Ep 300 | R= -200.0 | steps=200 | cur=0.108[0.025-0.189] | V=-81.598 | noise=0.292 | tDA=0.242 sero=0.869 NE=0.112 | maxP=-0.302
Ep 305 | R= -200.0 | steps=200 | cur=0.096[0.041-0.191] | V=-81.496 | noise=0.290 | tDA=0.232 sero=0.873 NE=0.107 | maxP=-0.378
Ep 310 | R= -200.0 | steps=200 | cur=0.086[0.032-0.147] | V=-81.882 | noise=0.317 | tDA=0.197 sero=0.886 NE=0.066 | maxP=-0.461
Ep 315 | R= -200.0 | steps=200 | cur=0.124[0.037-0.225] | V=-82.184 | noise=0.343 | tDA=0.166 sero=0.866 NE=0.171 | maxP=-0.357
Ep 320 | R= -200.0 | steps=200 | cur=0.116[0.057-0.167] | V=-82.537 | noise=0.366 | tDA=0.140 sero=0.863 NE=0.103 | maxP=-0.442
Ep 325 | R= -200.0 | steps=200 | cur=0.144[0.062-0.235] | V=-82.728 | noise=0.385 | tDA=0.118 sero=0.870 NE=0.133 | maxP=-0.343
Ep 330 | R= -200.0 | steps=200 | cur=0.160[0.045-0.296] | V=-82.941 | noise=0.402 | tDA=0.100 sero=0.847 NE=0.221 | maxP=-0.314
Ep 335 | R= -200.0 | steps=200 | cur=0.124[0.038-0.194] | V=-83.287 | noise=0.417 | tDA=0.084 sero=0.880 NE=0.120 | maxP=-0.337
Ep 340 | R= -200.0 | steps=200 | cur=0.097[0.032-0.189] | V=-83.330 | noise=0.427 | tDA=0.080 sero=0.891 NE=0.104 | maxP=-0.421
Ep 345 | R= -200.0 | steps=200 | cur=0.121[0.031-0.236] | V=-82.792 | noise=0.374 | tDA=0.155 sero=0.878 NE=0.145 | maxP=-0.332
Ep 350 | R= -200.0 | steps=200 | cur=0.103[0.019-0.184] | V=-81.784 | noise=0.296 | tDA=0.246 sero=0.883 NE=0.104 | maxP=-0.400
Ep 355 | R= -200.0 | steps=200 | cur=0.117[0.029-0.193] | V=-81.150 | noise=0.254 | tDA=0.291 sero=0.866 NE=0.129 | maxP=-0.378
Ep 360 | R= -200.0 | steps=200 | cur=0.070[0.018-0.155] | V=-81.450 | noise=0.243 | tDA=0.299 sero=0.898 NE=0.040 | maxP=-0.440
Ep 365 | R= -200.0 | steps=200 | cur=0.086[0.011-0.168] | V=-81.291 | noise=0.265 | tDA=0.262 sero=0.886 NE=0.068 | maxP=-0.447
Ep 370 | R= -200.0 | steps=200 | cur=0.124[0.029-0.196] | V=-81.598 | noise=0.297 | tDA=0.221 sero=0.854 NE=0.187 | maxP=-0.371
Ep 375 | R= -200.0 | steps=200 | cur=0.078[0.016-0.148] | V=-82.009 | noise=0.325 | tDA=0.187 sero=0.895 NE=0.077 | maxP=-0.459
Ep 380 | R= -200.0 | steps=200 | cur=0.092[0.020-0.187] | V=-82.346 | noise=0.345 | tDA=0.166 sero=0.883 NE=0.129 | maxP=-0.371
Ep 385 | R= -200.0 | steps=200 | cur=0.080[0.035-0.166] | V=-82.272 | noise=0.338 | tDA=0.194 sero=0.892 NE=0.052 | maxP=-0.409
Ep 390 | R= -200.0 | steps=200 | cur=0.076[0.021-0.164] | V=-81.334 | noise=0.259 | tDA=0.291 sero=0.889 NE=0.047 | maxP=-0.470
Ep 395 | R= -200.0 | steps=200 | cur=0.109[0.030-0.191] | V=-81.193 | noise=0.239 | tDA=0.306 sero=0.863 NE=0.081 | maxP=-0.363
Ep 400 | R= -200.0 | steps=200 | cur=0.103[0.032-0.226] | V=-81.105 | noise=0.252 | tDA=0.281 sero=0.871 NE=0.116 | maxP=-0.383
Ep 405 | R= -200.0 | steps=200 | cur=0.082[0.031-0.162] | V=-81.475 | noise=0.285 | tDA=0.237 sero=0.892 NE=0.070 | maxP=-0.448
